epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,504.467,0.40425,0.36276,0.83479,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.00017205,0.00017205,0.00017205
131,508.402,0.40438,0.35933,0.83731,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000169694,0.000169694,0.000169694
132,512.437,0.4067,0.35819,0.8351,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000167338,0.000167338,0.000167338
133,516.452,0.40871,0.35875,0.82875,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000164982,0.000164982,0.000164982
134,520.513,0.40503,0.34981,0.82437,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000162625,0.000162625,0.000162625
135,524.505,0.39888,0.35083,0.83158,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000160269,0.000160269,0.000160269
136,528.59,0.40695,0.34638,0.83137,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000157913,0.000157913,0.000157913
137,532.535,0.40378,0.35978,0.82657,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000155557,0.000155557,0.000155557
138,536.432,0.38803,0.33823,0.82364,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000153201,0.000153201,0.000153201
139,540.551,0.39274,0.34477,0.83065,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000150844,0.000150844,0.000150844
140,544.427,0.3988,0.34165,0.82667,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000148488,0.000148488,0.000148488
141,548.87,0.38813,0.33709,0.82524,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000146132,0.000146132,0.000146132
142,552.883,0.38714,0.34479,0.83217,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000143776,0.000143776,0.000143776
143,556.811,0.38207,0.3328,0.81713,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.00014142,0.00014142,0.00014142
144,560.703,0.40197,0.34868,0.83253,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000139063,0.000139063,0.000139063
145,564.687,0.38998,0.34071,0.82812,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000136707,0.000136707,0.000136707
146,568.57,0.38024,0.33176,0.82248,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000134351,0.000134351,0.000134351
147,572.435,0.38148,0.33544,0.82586,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000131995,0.000131995,0.000131995
148,576.412,0.39615,0.3369,0.83036,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000129639,0.000129639,0.000129639
149,580.576,0.39333,0.33707,0.83112,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000127282,0.000127282,0.000127282
150,584.597,0.38174,0.33518,0.83025,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000124926,0.000124926,0.000124926
151,588.672,0.38731,0.33356,0.8319,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.00012257,0.00012257,0.00012257
152,592.925,0.38417,0.33325,0.82701,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000120214,0.000120214,0.000120214
153,596.847,0.38543,0.33212,0.82621,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000117858,0.000117858,0.000117858
154,600.781,0.37744,0.32423,0.82694,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000115501,0.000115501,0.000115501
155,604.836,0.3831,0.33312,0.82479,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000113145,0.000113145,0.000113145
156,608.92,0.37122,0.32221,0.81918,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000110789,0.000110789,0.000110789
157,612.918,0.37485,0.32858,0.82023,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000108433,0.000108433,0.000108433
158,616.971,0.37236,0.32569,0.82975,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000106077,0.000106077,0.000106077
159,620.934,0.37284,0.32351,0.8234,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.00010372,0.00010372,0.00010372
160,624.95,0.36356,0.32112,0.8181,0.95653,0.94367,0.9839,0.8271,0.62837,0.45193,0.85069,0.000101364,0.000101364,0.000101364
161,629.468,0.36559,0.31978,0.82284,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,9.9008e-05,9.9008e-05,9.9008e-05
162,633.33,0.36108,0.31253,0.82604,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,9.66518e-05,9.66518e-05,9.66518e-05
163,637.245,0.37282,0.32216,0.82588,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,9.42956e-05,9.42956e-05,9.42956e-05
